"","x"
"1",0.071614933661428
"2",-0.293755897415382
"3",-0.428500987073428
"4",-0.459303820045806
"5",-0.452486020127009
"6",-0.43850078877044
"7",-0.436420405012615
"8",-0.371365694688073
"9",-0.259297699781322
"10",-0.321812238045759
"11",-0.205672915610188
"12",-0.127050730804055
"13",-0.203980774298517
"14",-0.300874985579687
"15",-0.381122759234683
"16",-0.234775887235331
"17",-0.336430630065542
"18",-0.450556839735501
"19",-0.311577103474827
"20",-0.270940955783179
"21",-0.510844514675592
"22",-0.415717155121188
"23",-0.337918866677195
"24",-0.544284875732785
"25",-0.435749874973389
"26",-0.360272321787384
"27",-0.225139821301698
"28",-0.265578991221091
"29",-0.118806921036711
"30",-0.146361646737033
"31",-0.200216547586799
"32",-0.0477094736325087
"33",-0.00627662649362617
"34",0.22134302094086
"35",0.200611922791959
"36",0.217523309867175
"37",0.172144012985541
"38",0.0598255718591908
"39",0.31344459964181
"40",0.430245077005423
"41",-0.0210393121270806
"42",0.00293546895680641
"43",0.49915695448942
"44",0.121789993317252
"45",0.321919243198066
"46",0.247288616616743
"47",0.470901315379219
"48",0.36370169371562
"49",0.323314306194953
"50",0.231190248342369
"51",0.303935734026776
"52",0.23924016526702
"53",0.165993444615986
"54",0.0694411341023014
"55",0.16249052509775
"56",0.173327119413987
"57",0.301585651226026
"58",0.451599601708443
"59",0.379871133326415
"60",0.290183931043019
"61",0.514111669573888
"62",0.471008287512046
"63",0.986615201713151
"64",0.980143158729839
"65",1.23071434715095
"66",1.14271353984614
"67",1.2089540177019
"68",1.03805311130105
"69",0.87743730791104
"70",1.11507705056923
"71",1.67697667777657
"72",1.83769487202072
"73",1.76318813693457
"74",1.86517014542355
"75",1.8188211847288
"76",2.44569466763361
"77",2.56818234644212
"78",1.68434957562309
"79",1.58413856136028
"80",1.79975844634571
"81",1.84470942987184
"82",1.67017037983385
"83",1.6107772101642
"84",1.93380533088536
"85",1.99468760863263
"86",1.98837366451878
"87",1.83023639232723
"88",1.99437077583583
"89",1.9310166372139
"90",1.69413415275899
"91",1.53555580817351
"92",1.61698658312292
"93",1.56020894609858
"94",1.6478981198565
"95",1.60105070288129
"96",1.60671415977019
"97",2.0508219395695
"98",1.59737181848795
"99",1.7180308593038
"100",1.49675684804422
"101",1.48717972179857
"102",1.5166654146929
"103",1.34111747198919
"104",1.23971240422291
"105",1.33801294995284
"106",1.55330181693259
"107",1.86293580950474
"108",1.87146993080043
"109",2.23014597026192
"110",1.97711992869978
"111",1.98928496195627
"112",1.63637196470984
"113",1.48587742131204
"114",1.53149646776001
"115",1.56889724244976
"116",1.46461439183653
"117",1.54600350706741
"118",1.4604288118335
"119",1.37642048149349
"120",1.41758347953673
"121",1.50882984356242
"122",1.50828460909249
"123",1.36525376116248
"124",1.05238002736831
"125",1.33794387827113
"126",1.79791967595483
"127",1.90841249875188
"128",1.97236134645188
"129",1.91171049882475
"130",1.94810618037444
"131",1.55104627371973
"132",1.65663051089841
"133",1.22792698866656
"134",0.786394691683668
"135",0.934879901705453
"136",0.914437532746453
"137",1.22238840329589
"138",1.26428744329387
"139",0.98300279616359
"140",0.981811294794962
"141",1.16460820618164
"142",1.12483325846787
"143",1.52090202337844
"144",1.81287343726263
"145",1.78788528246172
"146",1.73730896865232
"147",1.69012545725273
"148",1.95683028743392
"149",1.70071300851348
"150",1.62451646523029
"151",1.39487698683592
"152",1.12482151625714
"153",0.852862333558588
"154",0.70931992355839
"155",0.614068729385084
"156",0.49682863598289
"157",0.469162624531513
"158",0.624340274451442
"159",0.341481650459487
"160",0.304999163679547
"161",0.151063070622938
"162",0.198856427917847
"163",0.246587121856324
"164",0.0332935960291151
"165",-0.444015208543575
"166",-1.04709392647521
"167",-0.978414393999452
"168",-0.910967218728719
"169",-0.642744337156833
"170",-0.50153076738693
"171",-0.283751198013911
"172",-0.501620693972827
"173",-0.844444894803601
"174",-0.85857249489794
"175",-0.744296720401474
"176",-0.852627561833423
"177",-1.28535119284276
"178",-0.982407957535743
"179",-1.10111588892424
"180",-1.17754850325902
"181",-0.906033406563955
"182",-0.866703994942272
"183",-0.771156881296207
"184",-0.854893243406454
"185",-0.823178548043777
"186",-0.876589807535843
"187",-0.965137345020212
"188",-1.02457877771863
"189",-1.0970212629441
"190",-0.788453642652399
"191",-0.309933470534589
"192",-0.20671862017461
"193",-0.302502106826813
"194",-1.12698227733323
"195",-1.48279510508539
"196",-1.85539796868636
"197",-1.93005289880654
"198",-1.90935933682649
"199",-1.91410786481255
"200",-1.86660081181029
"201",-1.94443914781381
"202",-1.93812941281168
"203",-1.76592799613142
"204",-1.94360476312427
"205",-1.89531121073885
"206",-1.68768240929965
"207",-1.57178469789169
"208",-1.39342033274218
"209",-1.22572956472863
"210",-0.893492495507722
"211",-0.721110018027979
"212",-0.809853049303201
"213",-0.877062711840727
"214",-0.530559712759473
"215",-0.742679284625357
"216",-0.501832363620268
"217",-0.135828930895219
"218",-0.256704702929657
"219",-0.227644466813847
"220",-0.0066805198720827
"221",-0.00528651294709942
"222",-0.236400974388118
"223",-0.635198309222504
"224",-0.604680934880217
"225",-0.809212048762142
"226",-1.12382653671114
"227",-1.41166472626299
"228",-1.73975333416336
"229",-1.88216768654703
"230",-0.932335018357753
"231",-2.13565769969157
"232",-2.04577808249067
"233",-2.01716125318922
"234",-1.93239533277929
"235",-2.14026324352029
"236",-2.16022764085358
"237",-1.67592825912895
"238",-1.7085963667203
"239",-1.61234745571165
"240",-1.58552986700283
"241",-1.6580441248353
"242",-1.53469364196218
"243",-1.66913857787003
"244",-1.6421823268523
"245",-1.7857850685073
"246",-1.52919997719944
"247",-1.49645127705649
"248",-1.21701619533416
"249",-1.30772746625745
"250",-1.23949222973784
"251",-1.35446046231384
"252",-1.22883410737096
"253",-1.2484971753685
"254",-1.25483559470388
"255",-1.22830508248457
"256",-1.18659200003655
"257",-1.20758960143888
"258",-1.15487149604093
"259",-0.968627805875411
"260",-0.741161637082841
"261",-0.692449364963069
"262",-0.69963645890432
"263",-0.686166557174297
"264",-0.360261258796261
"265",-0.635745521492842
"266",-0.640552873541457
"267",-0.85738288919147
"268",-0.747161366870902
"269",-0.626887812884442
"270",-0.575521996543712
"271",-0.61328261741412
"272",-0.682121257109576
"273",-0.733042715231606
"274",-1.01073571910725
"275",-0.943314908398734
"276",-0.789589979822499
"277",-0.940496136477486
"278",-0.77383126830152
"279",-0.638700586743593
"280",-0.983215216655492
"281",-0.922623359967761
"282",-0.964719071987668
"283",-0.774417064056886
"284",-1.29802121968837
"285",-1.30665994182623
"286",-1.23962697095364
"287",-1.26156697355241
"288",-1.34940767918014
"289",-1.27533464822413
"290",-1.07098398235101
"291",-1.15565183982209
"292",-1.34665230766182
"293",-1.57241992352097
"294",-1.66498377503665
"295",-1.69411954579017
"296",-1.50816479411033
"297",-1.40617227698651
"298",-1.25714788613305
"299",-1.14952491271472
"300",-1.00766723251558
"301",-0.89423664958789
"302",-0.826731938243533
"303",-1.10075940303687
"304",-1.21293342914137
"305",-1.40644500026924
"306",-1.33460551898502
"307",-1.65882794003289
"308",-1.84345832368936
"309",-1.77515249278673
"310",-1.58778039114948
"311",-1.50108953950856
"312",-1.30337534682453
"313",-1.08409994653979
"314",-0.644531067477148
"315",-0.435984163980108
"316",-0.196861134193253
"317",-0.0380476318954326
"318",-0.164006870460564
"319",-0.211675681206552
"320",0.15478248403135
"321",0.15987972891788
"322",0.314011280476334
"323",0.274232784303134
"324",0.033363680986882
"325",0.0456524572761708
"326",0.0476229235276465
"327",0.112036683109259
"328",0.153014066333048
"329",0.200308996012042
"330",0.10349411896337
"331",-0.021290099257522
"332",0.180662319128998
"333",0.293856707667126
"334",0.209961243639858
"335",0.244985892770103
"336",0.340129314635592
"337",0.407848636977242
"338",0.384546281402457
"339",0.563855943438635
"340",0.483673092010786
"341",0.555962398614663
"342",0.525464464663405
"343",0.358232918725716
"344",0.327192631434458
"345",0.903476714927166
"346",0.639607284719914
"347",0.450822200925758
"348",0.562496972904444
"349",0.409764591190265
"350",0.490698573837375
"351",0.573194582673523
"352",0.542417046264644
"353",0.553867045741326
"354",0.546123347374179
"355",0.616179754163526
"356",0.729410235308573
"357",0.441303817004525
"358",0.457144592924774
"359",0.518975743511526
"360",0.589303835844871
"361",0.504303572903662
"362",0.545442272087128
"363",0.516429581369163
"364",0.666739069141934
"365",0.547150421131854
"366",0.56071202702512
"367",0.396173688334287
"368",0.559080107746985
"369",0.58164281846813
"370",0.791836262774903
"371",1.18147224855154
"372",1.16883103067191
"373",1.23390022057894
"374",1.12207618545186
"375",1.03680241572067
"376",1.10141985243734
"377",1.22274161298698
"378",1.31040062015326
"379",1.38471658573547
"380",0.890375133651335
"381",0.82387988154792
"382",0.855911703106997
"383",0.745779610321767
"384",0.609452684810305
"385",0.514492487085232
"386",0.55217246765095
"387",0.688214711678867
"388",0.633928747368656
"389",0.567466075326486
"390",0.540460572536812
"391",0.45978217361846
"392",0.221825122136285
"393",0.0725614302947373
"394",0.0322847856238898
"395",0.0610824474894324
"396",0.0503854096422742
"397",-0.0521018707913067
"398",0.447044515551428
"399",-0.000916551156453553
"400",-0.161269782674885
"401",-0.131048345307698
"402",-0.170951824871056
"403",-0.232681423710244
"404",-0.201931100102802
"405",-0.0529558639693178
"406",-0.334449331134595
"407",-0.535913897299638
"408",-0.467502255298351
"409",-0.191979789131124
"410",-0.305733854422683
"411",-0.259547863565853
"412",-0.175620936897939
"413",-0.399931117685993
"414",-0.705076867095318
"415",-0.454184568054746
"416",-0.782477711687584
"417",-0.560766732510508
"418",-0.733275059008622
"419",-0.772988515409244
"420",-0.726882429205332
"421",-0.870105852219957
"422",-0.778919821131363
"423",-0.785009624329407
"424",-1.13803152361
"425",-1.18934782353472
"426",-1.29629959833417
"427",-1.29898401227493
"428",-1.2472396981208
"429",-1.67173804219941
"430",-1.82531212348582
"431",-1.75595592550612
"432",-1.16533459595467
"433",-1.09410413783464
"434",-0.756740994674918
"435",-0.659626353748571
"436",-0.592483820111987
"437",-0.821553787568573
"438",-0.935188124628382
"439",-0.878725536258246
"440",-0.937018279397496
"441",-0.889108977657411
"442",-0.488191239517591
"443",-0.49798048309615
"444",-0.411352547135522
"445",-0.24199507446905
"446",-0.0874057021492571
"447",0.184523714399145
"448",0.50958396209617
"449",0.694045285744503
"450",0.727340306139878
"451",0.726213876434221
"452",0.801713962087995
"453",0.794642469521047
"454",0.883312556827544
"455",0.736520201136742
"456",0.57739851571723
"457",0.551464637097678
"458",0.519571997527224
"459",0.603282365789146
"460",0.335146405270629
"461",0.322391233799403
"462",0.472337324615341
"463",0.137540913515821
"464",0.326613321589122
"465",0.78685502282374
"466",0.790653192278058
"467",0.789358475160781
"468",0.772867495906107
"469",0.746306208843073
"470",0.812370477874755
"471",0.730980715197022
"472",0.482861440474066
"473",0.616614936260472
"474",0.478902374512551
"475",0.302192718070395
"476",0.357648774029325
"477",0.103232137149569
"478",-0.0568430531290486
"479",-0.0922672738046637
"480",0.223623230550163
"481",0.552600556629648
"482",0.629427108166211
"483",0.566153321805236
"484",0.243062886877259
"485",0.489955634704041
"486",0.694519167176996
"487",0.737509989326418
"488",0.696675344840795
"489",0.914914338991583
"490",0.706609320528683
"491",0.639670479464478
"492",0.588438361551056
"493",0.218032620389389
"494",0.147999402697006
"495",0.355551971389355
"496",0.377589410775198
"497",0.0666023994935921
"498",0.0615685161605376
"499",-0.190824539310561
"500",-0.3650696073562
"501",-0.533397832130499
"502",-0.541345516989964
"503",-0.300022415229911
"504",-0.114555132999732
"505",-0.206776028766729
"506",-0.41837903472362
"507",-0.410354016864444
"508",-0.43409526805802
"509",-0.653880228912265
"510",-0.86086449455962
"511",-0.954088955041503
"512",-0.804977732701151
"513",-0.826834593087624
"514",-0.679290304433647
"515",-0.728160888394658
"516",-0.765296519740495
"517",-0.563171358935817
"518",-0.410836919302541
"519",-0.432059605956436
"520",-0.5352087362612
"521",-0.647833047529228
"522",-0.770617331050711
"523",-0.738150660567945
"524",-0.665812337358501
"525",-0.645662427544014
"526",-0.279604532201598
"527",-0.0819267209451233
"528",-0.0653482344384036
"529",-0.0181582198550224
"530",-0.0474514329455421
"531",0.0687000489030741
"532",0.233257951011559
"533",0.894506261669219
"534",1.22385492121438
"535",1.43505621310122
"536",1.60067388134466
"537",1.77071700088171
"538",1.77486637670957
"539",1.33374948636593
"540",1.37692113350235
"541",1.30691847876495
"542",1.17476508794632
"543",1.3137699267714
"544",1.23236407615261
"545",0.927880854257758
"546",1.18482679818259
"547",1.16805388398664
"548",1.04455787673435
"549",0.925285004449727
"550",0.821287674819371
"551",0.336925807523016
"552",0.707761931195024
"553",1.12906547307322
"554",1.20100536352744
"555",1.24117104943028
"556",0.742374870265388
"557",0.591337035520996
"558",0.668395025732772
"559",0.889887992943428
"560",0.80624022626165
"561",0.73670640250607
"562",0.294693389774516
"563",0.409326689139977
"564",0.457839095454247
"565",0.50141231524222
"566",0.505939260869379
"567",0.320789779787926
"568",0.367776973348558
"569",0.361736590772704
"570",0.412304570255381
"571",0.137834054199496
"572",0.177473476744554
"573",0.0969788348420368
"574",0.360262657719909
"575",0.538427093334154
"576",0.741886982131805
"577",0.836727570716223
"578",0.778187524617729
"579",0.717422188937648
"580",0.697676463054424
"581",0.677508344937895
"582",0.5158173763067
"583",0.382062129255527
"584",0.202336631798053
"585",0.316109475647078
"586",0.395859933155482
"587",0.276618711526772
"588",0.363809091577433
"589",0.393864906013319
"590",0.250520804794522
"591",0.268148753041288
"592",0.218542716389228
"593",0.168339261996227
"594",0.293652920583975
"595",0.214037034201908
"596",0.119895426310097
"597",0.0602745312969755
"598",-0.19271796355939
"599",-0.16151024373872
"600",-0.22410937068074
"601",-0.118211375900955
"602",-0.176796203895071
"603",-0.319174626730374
"604",-0.361007617708434
"605",-0.446939055428745
"606",-0.443132629969231
"607",-0.490439832411494
"608",-0.542070887381018
"609",-0.339750403738514
"610",-0.465404794263808
"611",-0.728661761853321
"612",-0.625527041036209
"613",-0.576764006779845
"614",-0.452284388375577
"615",-0.310999368247371
"616",-0.704403274090197
"617",-0.953106109365491
"618",-1.06277056719604
"619",-1.02818491286723
"620",-1.09889696820995
"621",-1.30221342501149
"622",-1.21321662349837
"623",-0.955213516767546
"624",-1.05446831702967
"625",-1.15594058399018
"626",-1.02865492572793
"627",-0.992028815515554
"628",-0.991935095512102
"629",-0.9708613259592
"630",-1.08698125869125
"631",-1.27740597743663
"632",-1.33581656897322
"633",-1.09419408331897
"634",-1.1834657141476
"635",-1.21216672742788
"636",-1.41075725966229
"637",-1.36417027095905
"638",-1.45129138226213
"639",-1.16428455442545
"640",-1.18997527074365
"641",-1.34643897186654
"642",-1.39165757479173
