"","x"
"124",-0.266224082738441
"125",-0.283285391882026
"126",-0.293467001096106
"127",-0.751061298008884
"128",-0.673251236920885
"129",-0.469986635035781
"130",0.199926591049667
"131",-0.230828414679098
"132",-0.409662064776691
"133",-0.426713073525083
"134",-0.509401514028272
"135",-0.543483753060781
"136",-0.426199722756988
"137",-0.426758526154211
"138",-0.30816000393648
"139",-0.504992017066512
"140",-0.772421743445192
"141",-0.958782189671163
"142",-0.882728549149457
"143",-0.900778990901473
"144",-0.72772544226192
"145",-0.48824468830229
"146",-0.443008509467267
"147",-0.356549692827341
"148",-0.210406359082765
"149",-0.566876801286413
"150",0.0358773153483284
"151",0.171024791337751
"152",0.195857574702863
"153",0.25226383938339
"154",0.301151922899818
"155",0.40963841048006
"156",0.537157179161127
"157",0.573215887304178
"158",0.625293900382813
"159",0.680169773331985
"160",0.670554019186191
"161",0.842544722581823
"162",0.918131681724385
"163",1.04294729083913
"164",1.07449665356299
"165",0.895834769650667
"166",0.968667606082696
"167",0.969308052645727
"168",0.83662621669211
"169",0.925793406229541
"170",0.637536393670789
"171",0.669555356979038
"172",0.66118144127743
"173",0.74003122563522
"174",1.41040568080889
"175",1.41124709871997
"176",1.23607583849764
"177",1.15945789882864
"178",1.14833707047208
"179",0.865816356631488
"180",0.740344510380911
"181",0.567502900807915
"182",0.585627301247576
"183",0.588386009760804
"184",0.582929283700607
"185",0.194492492265064
"186",0.852063616522157
"187",0.662894976147278
"188",0.681997460143185
"189",0.89723411978162
"190",0.902394532306344
"191",1.1122853256456
"192",1.04047382068115
"193",1.0619440497029
"194",0.929713649638464
"195",0.608577306843373
"196",0.441220812667216
"197",0.54235817948832
"198",0.763354413047795
"199",0.661811552373704
"200",0.551491411906501
"201",0.541335714180795
"202",0.564898352837589
"203",1.02613050740705
"204",1.32359927482487
"205",1.07727053225402
"206",1.26558524975312
"207",1.26884780427774
"208",1.29792524250854
"209",1.33409376087
"210",1.26650143512768
"211",0.890956082880841
"212",1.0911763198966
"213",1.09899497738806
"214",1.33650236966867
"215",1.57031830785027
"216",1.40345858713607
"217",1.41096542937633
"218",1.4835460190626
"219",1.80183861234758
"220",1.81597169818928
"221",1.92554468187759
"222",1.97981710149536
"223",1.68269420188602
