"","plot_qwe","plot_qwe_dev"
"1",0.837111258451573,0.929436068682211
"2",0.83711439753323,0.910610507851053
"3",0.837112700584389,0.891764433104654
"4",0.837109846469479,0.872893796336218
"5",0.837165313361395,0.854141615746064
"6",0.838008706366161,0.837493017383035
"7",0.83441683122123,0.808503092520489
"8",0.735841576541983,0.517313743733786
"9",0.694948493262545,0.385073676032487
"10",0.670941767380441,0.299178398334506
"11",0.462180635464188,-0.296741869966889
"12",0.164456658910268,-1.13845988633196
"13",0.00527849638245246,-1.59834593316544
"14",-0.0192037650296976,-1.68706700974783
"15",0.409122936678837,-0.526999744152506
"16",0.151237516286769,-1.26066025724523
"17",0.124821789399228,-1.35623106743485
"18",0.252499438169683,-1.02719531399904
"19",0.182680397250476,-1.24356623259066
"20",0.03387100234388,-1.67837916603183
"21",0.13323436335934,-1.42898736361492
"22",0.0644431558397454,-1.64398010614561
"23",0.137558007154498,-1.46787146962064
"24",0.471698918676396,-0.571957470178477
"25",0.491970716154184,-0.542272277630316
"26",0.387473902458753,-0.857023836057829
"27",0.577701785835755,-0.358774899577039
"28",0.43225430031894,-0.786679353677254
"29",0.622526860183011,-0.2883065948351
"30",0.857519562179851,0.333584604735876
"31",0.974405883278034,0.629860963470117
"32",0.875483941800042,0.331061908948637
"33",0.643553589789649,-0.334283692468662
"34",0.563099879783312,-0.581211217043875
"35",0.730847245278441,-0.142774623570528
"36",0.846800127638099,0.153448100226278
"37",0.553691868597896,-0.678127727622675
"38",0.612153178990871,-0.538870968664804
"39",0.61035355379175,-0.564900891409463
"40",0.74081582225537,-0.224955187159583
"41",0.834185704787122,0.0138338856352126
"42",0.988517661081328,0.42210172417571
"43",1.21303337026774,1.02539889116022
"44",1.18466218284629,0.932496538512215
"45",1.30491373399944,1.25123483114012
"46",1.37396193914496,1.43039475103956
"47",1.41475637686914,1.53337335738021
"48",1.10424639986927,0.668961188237434
"49",1.15105682128397,0.792272477951237
"50",0.960273699869374,0.262024981509861
"51",0.826070076596929,-0.110127855554674
"52",1.54263417833295,1.86697962985203
"53",1.33559281981018,1.29799509542136
"54",1.39558366590421,1.46785271801309
"55",1.45625652697688,1.64172776230968
"56",1.41013001708603,1.52309440848051
"57",1.3357177098439,1.3285639740732
"58",1.33709050205061,1.34524726532658
"59",1.1436177850509,0.82646411041424
"60",1.13486122647913,0.819368482173403
"61",1.05555891937883,0.619664849607374
"62",0.917255345751581,0.259155428073061
"63",0.890198612802042,0.207492174748829
"64",0.763008372696264,-0.118566750376008
"65",0.798882573151102,0.00707047761938432
"66",0.921127927989713,0.372755485418476
"67",1.0575506144741,0.779253615887511
"68",0.784618801523891,0.0580052050675948
"69",0.569906249324396,-0.501044389291785
"70",0.450084431535589,-0.796785830016959
"71",0.533183990919648,-0.531229913556531
"72",0.46341312117417,-0.686041768779828
"73",0.366656193467751,-0.913964496012838
"74",0.397864605209587,-0.787541584504561
"75",0.513213184966282,-0.427723029346559
"76",0.473446280064647,-0.494634636352048
"77",0.483697582924505,-0.42235328945115
"78",0.889030882078148,0.741107338940969
"79",0.910478060221223,0.846594983343659
"80",0.740616600345274,0.425392229669029
"81",0.609528506745548,0.112248031160778
"82",0.828152452204021,0.76498713445363
"83",0.764054055205712,0.638719346294059
"84",0.798212017557842,0.784499210317679
"85",0.701108504944057,0.569050168445928
"86",0.569460037589576,0.259152147772342
"87",0.871577584181645,1.146789212994
"88",0.970584360172428,1.47479155186978
"89",0.819765032923919,1.11420330429708
"90",0.825143181723018,1.18513884519004
"91",0.751346881750718,1.03812923541567
"92",0.439407002165942,0.234487473587375
"93",0.300111759625165,-0.0925524465298284
"94",0.207437854744176,-0.290791619317146
"95",0.34271617810855,0.139942783699746
"96",0.28043114447191,0.0255699758738561
"97",0.242831694776563,-0.0208454128262303
"98",0.185431179564605,-0.122147689067835
"99",0.178729680461249,-0.0839389681490509
"100",-0.0341481147788948,-0.615031025668821
"101",-0.113051675273022,-0.777073713062831
"102",-0.146686639151879,-0.814902584128294
"103",-0.0989744947050531,-0.629074629792633
"104",-0.145236591349074,-0.703381076342778
"105",-0.00678638500060199,-0.269025631542571
"106",-0.222816396806943,-0.813689675522081
"107",-0.461941170203639,-1.42317602843141
"108",-0.539280090656466,-1.58747998714311
"109",-0.482446280325934,-1.38284433260429
"110",-0.729140966288116,-2.01690999397572
"111",-0.356138955996476,-0.942586518730592
"112",-0.453983144308961,-1.16864265258998
"113",-0.365853912874305,-0.882963350288048
"114",-0.33969107140544,-0.769605764182596
"115",-0.481556945956901,-1.1211881042343
"116",-0.590256859645543,-1.38261756701703
"117",-0.899904036997417,-2.19978311873241
"118",-0.644528853549475,-1.45938979682815
"119",-0.307852451814004,-0.495953364095632
"120",-0.117120842224878,0.0636223797851213
"121",-0.102348528326043,0.136588279510884
"122",0.170644195283652,0.920880834270399
"123",-0.176765410546812,-0.00751383703742984
"124",0.489595891687458,1.86004838228179
"125",0.589708253477093,2.16443073686209
"126",-0.25173210849146,-0.12977289632594
"127",-0.483465589573419,-0.742703522353071
"128",-0.459086435288066,-0.649887549865804
"129",-0.200527992536434,0.0881884165695254
"130",-0.38429850414459,-0.394893142854691
"131",-0.292047220858783,-0.117211626403281
"132",-0.143266550212389,0.315699222238148
"133",-0.117153091797901,0.409480468926161
"134",-0.082074922655774,0.527329443693225
"135",0.0305410342669019,0.858464449267183
"136",0.0937477275313633,1.05267050023537
"137",0.134926972307276,1.18551079344553
"138",-0.501795851179921,-0.552526306141652
"139",-0.538906594617948,-0.636848915986305
