,wag,rt,emp,loa,car,pi,cpi,wibor_on,wibor_1m,reer,all_com_pri_ind,m3,pi_ea,pi_germany,oil
1993-12-01,456.082442781,102.538310448,5741.890938243,30107.696960147,9.537982163,34.919806138,44.716568145,17.57,32.64,68.6590446058563,49.313890825757,21094.167120059,82.1,76.5,13.73
1994-01-01,485.346700324,103.842243676,5669.166369131,30840.049536897,9.795950793,36.176524523,44.588916916,22.64,32.57,68.9838964900633,50.3549079286469,22454.118506938,82.3,75.9,14.29
1994-02-01,494.252768135,106.943151774,5645.763226017,31514.392828003,9.846559505,35.758863269,45.015744068,13.25,32.34,68.2258562342699,50.6943828658886,23640.799313758,83.5,77.2,13.8
1994-03-01,520.729108663,109.592913639,5640.118227348,32035.99465934,9.84900455,36.022256837,45.974690432,17.15,31.01,67.8387232386837,50.5311180918706,24929.930482468,83.5,76.7,13.82
1994-04-01,520.819710681,99.556781528,5626.788594201,32569.406702806,9.879782101,35.737845134,47.131046142,15.57,31.54,68.2906830698391,52.5912318533333,26334.128853166,85,77.7,15.23
1994-05-01,541.38813609,99.519292561,5616.226177751,33141.111351926,10.124373188,36.940772965,48.054808623,12.81,30.55,67.7344063677152,54.8525810679255,27703.209301979,84.8,77.4,16.19
1994-06-01,559.452111267,98.782321133,5604.882708847,33756.332960954,10.385371761,37.393071769,49.415274377,11.53,30.67,67.8831547248526,56.5923825755951,29204.963460869,85.3,77.7,16.76
1994-07-01,575.449656018,99.186152285,5617.999744563,34408.498905337,10.628563128,35.605385531,51.007113584,12.21,30.11,66.9938993650167,57.8698974797121,30768.259630199,85.5,77.4,17.6
1994-08-01,579.873723965,102.957448705,5618.317957234,34725.07885777,10.820852133,35.580560633,52.3988055,12.15,29.58,66.8263261222924,56.5929038428318,32397.347968724,85.7,77.5,16.89
1994-09-01,603.281819855,102.902538862,5621.648459664,35305.356921714,10.967552683,35.995208986,54.197837746,18.78,29.91,68.4416786618338,56.6831603471149,34179.693925989,86.1,78.5,15.9
1994-10-01,621.312983099,101.545113955,5613.094993994,36080.74473277,11.123626144,37.098184551,55.641045576,25.13,29.55,69.2105015820837,56.941133013194,35899.959814988,87.1,80,16.49
1994-11-01,633.511473332,102.457368764,5626.126926534,36985.606075513,11.391613156,37.499937286,56.579443514,25.6,29.1,69.486138921194,57.9046508377177,37885.746148923,87.7,79.9,17.19
1994-12-01,654.216058907,104.635437179,5627.287259026,37694.4549273489,11.641077641,37.302649551,57.767127491,24.83,28.24,69.7639734093881,57.4624262105956,39555.1478678,88.5,80,15.93
1995-01-01,668.075077028,108.593937187,5655.675799375,38542.951072198,11.723314819,39.173377521,59.15116323,26.65,28.43,70.9937191422817,58.8758731284467,42110.9547276759,88,78.5,16.55
1995-02-01,675.22886148,110.314560748,5672.64335186,39255.441256799,11.594802479,40.026578718,60.321808919,23.75,28.76,71.0512266428474,59.3254235689638,44335.125957411,88.2,79.7,17.11
1995-03-01,688.679898505,109.042520168,5696.525734654,40631.832087912,11.421555248,39.478611195,61.404328433,28.26,30.05,71.0979734839361,59.8443146535886,46753.2908507219,88,79.1,17.01
1995-04-01,724.825898787,106.675936027,5691.471190595,41604.10263715,11.276851787,39.894610949,62.622103898,27.78,29.38,71.676484453634,61.3601263891163,49389.550816299,88.4,79.5,18.65
1995-05-01,730.100582385,109.31295741,5702.61008616,42611.903924872,11.347767212,40.427328491,63.860127136,27.32,28.2,72.9598790345091,60.7245561383706,51954.932915706,88.6,79.9,18.35
1995-06-01,737.264936901,109.638340071,5700.832551136,43768.659342817,11.432932015,40.674835548,64.752502462,26.72,27.33,73.8018511198943,60.0880294412143,54771.906549111,88.2,79.2,17.31
1995-07-01,750.369846117,110.582394218,5699.96111241,45155.633647034,11.501110072,41.43015718,65.047275945,26.74,27.52,71.6937958143837,59.0659875766762,57703.492781767,88.2,78.8,15.85
1995-08-01,778.111511229,112.594033157,5703.516587976,46243.51923079,11.51748109,42.337998705,65.887743171,26.61,26.82,71.6219719960267,58.8961245263257,60757.65570144,88,78.1,16.1
1995-09-01,797.422112586,112.250807675,5701.863829018,47420.574192108,11.493567746,42.308448303,67.325040933,26.27,26.29,73.6076758320008,58.7246872215431,64102.361479418,88.7,79.6,16.7
1995-10-01,813.284559397,113.651991572,5706.271238266,48687.8987852,11.477006629,41.076748383,68.397969437,25.64,25.74,73.6289779493105,58.0573700691039,67323.301783088,87.5,77.4,16.11
1995-11-01,821.860552789,115.888104527,5709.142408638,49991.734950197,11.571917615,42.876991883,69.251129983,25.61,25.71,73.5444944500716,58.505903543351,71050.160253768,87.7,78.1,16.86
1995-12-01,832.694380145,114.344768867,5703.447444986,50936.153474517,11.647215514,43.441068838,70.378115327,25.29,25.68,74.1456225018851,59.3659871817576,74163.821863843,88.8,78.5,17.93
1996-01-01,857.419192479,114.532129503,5626.186250844,51663.692743661,11.795757845,42.777263717,71.7531761,23.54,23.92,77.5233074021379,59.1238487754799,78976.751599925,87.5,78.2,17.85
1996-02-01,880.329193484,119.201629854,5627.671819188,53146.785708771,11.727965725,42.70550421,72.737545501,22.86,22.81,77.5223211854514,59.7900656479925,83144.562979266,87.3,78.3,18
1996-03-01,892.714966339,119.291439711,5623.030156428,54128.710828855,11.618634059,44.225104185,73.872084144,22.94,22.85,77.7728350137975,61.6026070795348,87681.417524601,87.5,78.5,19.85
1996-04-01,910.968574939,120.535195269,5634.409581673,55484.241831143,11.53839142,44.218381041,75.312686058,22.92,22.92,78.9136708567251,64.2231007578116,92633.771015105,86.6,78,20.9
1996-05-01,932.386916018,117.741645093,5628.082778045,56856.710628807,11.677825988,44.141557693,76.465694408,21.54,22.09,79.3375686471753,63.3728568928609,97438.882984712,87.5,78.9,19.15
1996-06-01,934.517551574,118.409333147,5651.856662721,58705.2586827659,11.829548117,43.546674519,77.470208525,21.98,21.75,78.5505977257282,61.238336335745,102723.691447703,87.6,78.9,18.46
1996-07-01,959.25288879,121.790511305,5655.890488863,59949.617648347,11.964979348,45.123228299,78.280207324,19.8,20.44,77.4276950975125,61.8559301634935,108221.147072201,86.7,78.1,19.57
1996-08-01,976.448113529,120.629072992,5667.555431768,62275.063078357,12.04721769,45.930255374,79.288913541,17.84,19.65,76.5353636773622,62.4138922828035,113946.195345799,87.9,79.4,20.51
1996-09-01,985.872613714,123.670046006,5676.141051533,64506.980177309,12.09406409,45.793239616,80.310149769,21.01,19.83,77.3537674136987,62.9438574621896,120225.070618024,87.9,79.9,22.63
1996-10-01,1014.275366283,125.319889981,5687.655182398,66813.969784959,12.146357057,45.965375977,81.294377674,19.82,19.59,78.0130895734399,63.7663651602281,126251.081794591,87.3,78.9,24.16
1996-11-01,1031.648164865,124.441339182,5693.233186373,69391.980117898,12.310670201,45.903554186,82.327284671,19.5,19.6,78.2894067272101,62.9242108165112,133248.870067617,88.1,79.8,22.76
1996-12-01,1048.039383928,127.415813729,5699.972847639,72542.519486101,12.454265725,46.967461301,83.469016976,22.8,22.74,79.5290421675118,64.2448541443997,139041.986862364,87.9,79.9,23.78
1997-01-01,1053.791601482,132.903890763,5697.538976207,74682.715714944,11.536539086,47.215869871,82.859215925,21.57,22.2,81.6759634023643,64.8577566053651,139460.457106083,88,79.3,23.54
1997-02-01,1075.211818148,130.314920402,5700.681425953,76960.483523749,11.928634352,48.127758914,85.686597372,21.89,22.48,82.8739879041867,62.1388606106606,141667.824717058,88.6,79.8,20.85
1997-03-01,1091.861587035,130.58496691,5702.185737111,79162.806564621,12.281723149,47.81851204,86.402112094,22.88,22.57,83.2332403907398,61.5490649884992,145013.01873206,89.6,80.6,19.13
1997-04-01,1104.217598821,131.777446096,5708.130952218,81427.842663464,12.665014965,49.57330192,87.090806127,22.41,22.89,83.3738953741447,59.7372071499621,148487.493194281,90.5,80.4,17.56
1997-05-01,1117.7118585,132.050843671,5716.027411379,83051.780090006,12.673360219,48.146136753,87.691392287,23.19,23.01,82.0774629224045,61.6913940395244,151895.035662729,89.7,79.8,19.02
1997-06-01,1163.61921287,135.970008393,5720.154147772,85046.515046927,12.692344005,51.118448384,89.254739383,22.63,22.66,82.2786078474667,58.6228119556368,155012.755099394,91.2,82,17.58
1997-07-01,1178.217425263,133.667578369,5727.352105632,87098.764831272,12.695450003,49.680800826,89.939732522,21.91,24.04,80.1336852271778,58.3869261084333,160694.256967585,91.8,82.9,18.46
1997-08-01,1179.084047108,135.213952582,5729.44914054,89031.197012609,12.610096706,50.367150896,90.676422474,23.61,25.14,80.035287462767,58.6927491001992,162508.54614541,91.9,80.5,18.6
1997-09-01,1200.636598872,139.030240846,5742.535548517,91069.545065214,12.493896061,51.765639849,91.496092687,23.32,25.01,79.882135778581,58.1547036329321,165361.361561287,91.6,81.1,18.46
1997-10-01,1219.877326741,142.360929807,5750.161262346,92234.133039576,12.38127628,50.83664678,92.348875557,21.62,24.88,80.283432108384,58.9615862757284,169906.36760633,92.9,82.4,19.87
1997-11-01,1241.658913907,141.478401339,5751.265891652,94561.245808678,12.382449182,52.254882596,93.439216993,24.32,25.07,78.6077907508894,57.9045494055647,173435.801417394,92.6,82.7,19.17
1997-12-01,1234.577706505,145.192366576,5745.040653143,96267.361344689,12.361475868,52.063412635,94.444818974,19.26,25.61,80.57684971636,54.537404288954,177811.559009285,93.4,83.4,17.18
1998-01-01,1281.936145522,148.055231483,5819.956293449,98999.87912359,12.343928731,52.68495206,96.350676403,25.44,26.05,85.6376684883662,51.1389482772227,178445.335088255,93.8,84.1,15.19
1998-02-01,1283.60118221,152.883887002,5836.732150818,100672.28516334,12.496267511,53.365360624,97.925925965,23.56,24.96,86.4595582616169,50.6231437902177,180816.367729788,94.2,84,14.07
1998-03-01,1284.207841307,149.185461744,5841.478104703,102830.139187827,12.612725938,52.387738135,98.472823234,23.08,25.13,89.1703103375175,49.4758027138864,183321.934038665,94.1,85,13.1
1998-04-01,1292.524381469,151.109389418,5842.901288434,104685.546852554,12.761069381,52.989371988,98.967355157,23.41,24.42,90.1329784769756,49.823744312464,186496.723814947,94.3,84.5,13.53
1998-05-01,1325.955322018,153.931883528,5847.084342016,106652.852936149,12.670884142,53.387630804,99.480536822,23.12,23.22,88.7868853903098,50.2647860266794,191296.740965036,94.7,84.8,14.36
1998-06-01,1335.666685784,150.849621045,5849.947813853,108754.029865404,12.589855227,52.50869724,99.834647564,22.22,22.26,88.5821485119608,48.0850421147603,195695.001044928,94.2,84.1,12.21
1998-07-01,1346.264934015,152.309829552,5852.983401969,110335.554330812,12.493595893,52.378654272,100.553922774,20.67,21.25,88.5960095653319,47.3934518596443,200006.722345725,95.1,86,12.08
1998-08-01,1368.832253717,155.456582261,5837.485541699,111711.975883475,12.239498323,53.164638081,100.944826139,19.79,19.96,85.3698069181871,46.0598129908365,205249.796944829,93.8,84.5,11.91
1998-09-01,1377.839425696,154.749967757,5825.166220788,114368.225909153,11.958965797,51.911644804,101.210958142,18.13,18.88,82.9258396609062,47.0358376625046,207054.046171768,94.1,83.6,13.34
1998-10-01,1394.392377073,155.520809994,5822.223941449,116964.92839844,11.680342506,51.374672101,101.543452855,18.63,18.38,83.2729367772261,45.9498550705514,207279.403025937,94.3,84.1,12.7
1998-11-01,1417.293935653,155.174621928,5799.96037372,118891.121703032,11.351682869,50.576758346,101.952180459,17.27,17.41,86.5665089160309,44.5533049578089,210823.396073173,93.7,83,11.04
1998-12-01,1423.974097248,154.987107067,5800.802134363,120630.375296214,10.999326119,50.76785536,102.531735587,15.67,16.52,85.5802814402316,42.2961500336294,221681.114048096,93.1,83.3,9.82
1999-01-01,1670.938837998,155.150373113,5854.400528155,122726.092899644,10.648861427,51.081938051,103.099494084,15.23,15.27,87.4239830317993,43.3765091072722,226662.777915719,94.6,84.7,11.11
1999-02-01,1695.812158919,167.71308286,5822.375763091,125354.013503692,11.630346206,50.732053453,103.621254171,13.33,13.36,84.23220018621,41.9775488473292,233367.616837102,93.3,83.1,10.27
1999-03-01,1747.725529648,176.74157033,5807.118595082,127481.756181356,12.57936695,53.553225876,104.58130716,12.89,13.36,83.8439454683124,43.8994507388907,236818.953652432,93.4,83.6,12.51
1999-04-01,1760.500721998,173.334637206,5793.65932436,130480.038479993,13.561757049,52.786739982,105.297721131,13.35,13.36,84.3614743257165,46.8351359472169,237500.563843099,94.1,84.4,15.29
1999-05-01,1794.921543244,180.637063114,5778.704740126,133624.542124718,13.539428848,54.80224023,105.978792507,13.3,13.35,86.5884936525741,47.6000769790902,240250.020562088,94,84.7,15.23
1999-06-01,1819.883235066,180.079885995,5762.697739906,135556.497718308,13.524837407,52.937683457,106.440536994,13.29,13.34,87.9286451087211,47.3760698286798,242975.872747275,94.8,84.6,15.86
1999-07-01,1847.236291056,185.044169789,5742.019579489,137788.391674525,13.495392161,54.216610381,106.805434214,13.29,13.34,88.9281117103822,49.7488200199599,244597.343827133,95.5,85.3,19.08
1999-08-01,1858.98645976,185.739881332,5743.676330891,140704.47599926,13.370569138,55.612419069,108.070887501,13.23,13.4,86.0381448112247,52.2186151275506,247682.186193348,95.4,86,20.22
1999-09-01,1881.449199022,184.644792253,5729.954210751,143347.24546764,13.223335484,56.172684424,109.281995899,12.9,13.83,84.9048307456445,55.0832823977732,252675.561121637,96.1,85.6,22.54
1999-10-01,1899.926854013,186.218586019,5718.426455738,146065.05243936,13.076192973,56.668327303,110.281869926,12.78,14.72,83.869873611264,55.1240145587501,256542.679572665,97.1,86.6,22
1999-11-01,1917.859252594,189.648236772,5716.132130813,149671.39953248,12.981476949,57.236840029,111.302528431,14.55,16.77,84.3566548155807,57.1012827166932,261656.790109049,97.5,86.7,24.58
1999-12-01,1974.115323224,191.258483301,5707.95523626,151440.009305069,12.861155416,59.913710651,112.390752147,16.54,20.43,88.0023304937107,58.2695090697795,266183.018020974,97.1,86.8,25.47
2000-01-01,1966.43621497,181.065700283,5335.65862892,154610.291793359,12.743925572,55.792961242,113.554465178,17.51,17.11,90.6631607558178,59.4699156265344,261479.861035264,96.9,86.2,25.51
2000-02-01,1996.627644553,184.636791914,5320.204438323,156672.79538992,12.592375832,57.510607728,114.524204226,14.59,17.43,92.3992347426287,61.7627595437091,264578.919092352,98,88.1,27.78
2000-03-01,1996.872645215,186.078323458,5309.089923614,159001.190210149,12.41409262,56.649829102,115.458223393,15.83,18.17,95.6909540245623,62.2102008648766,269853.691887875,98.4,87.9,27.49
2000-04-01,2053.169311679,190.039885191,5298.526497554,160875.566414714,12.267590844,58.493548803,115.74882491,16.32,18.16,94.095306956999,58.3450045440816,273951.727193786,99.4,89.2,22.76
