,wag,rt,emp,loa,car,pi,cpi,wibor_on,wibor_1m,reer,all_com_pri_ind,m3,pi_ea,pi_germany,oil
2004-12-01,2462.270451129,204.403684817,4697.711602116,219830.491447868,15.068830435,73.577224492,135.074465241,6.63,6.71,98.7813477367027,81.5946754989137,373555.707891994,101.7,92.2,39.6
2005-01-01,2462.538787955,208.185371841,4739.427606209,221809.250225569,14.907003885,74.3042993,134.773230037,6.51,6.63,99.4692304741306,86.6179235375003,378007.928563204,102.5,94.2,44.51
2005-02-01,2459.391187506,203.847960648,4741.614281953,224392.480107942,14.986879847,72.905117444,134.712183397,6.2,6.56,102.009282898096,88.898896513652,382190.611586945,102.1,93.3,45.48
2005-03-01,2469.047059311,201.458620954,4743.136394061,225533.794245933,15.067455519,71.240752166,134.706481556,6.62,6.36,100.625612635655,97.3259617481107,391082.849434244,102.2,94.2,53.1
2005-04-01,2484.514996485,205.550008015,4751.598700188,228851.825521305,15.174325596,72.80433466,134.828075102,6.03,5.94,97.7570445878968,96.6243908495035,398482.917715614,103.4,94.9,51.88
2005-05-01,2499.534784636,208.70968862,4755.840053383,236685.377032481,15.034550963,71.328985081,134.946795759,5.56,5.55,96.7031910964789,93.5606270931716,405122.669724036,102,93.8,48.65
2005-06-01,2519.354060869,214.090542201,4764.327489168,233453.063277628,14.893203989,74.500095821,134.868821024,5.24,5.37,98.9050748851169,99.9690123982763,405095.205214899,103,95.6,54.35
2005-07-01,2519.462294801,211.52450357,4768.982009461,235673.380066897,14.734708899,73.490025728,135.120152943,5.03,4.88,98.191831597304,103.047037688768,404432.299545868,103.7,97,57.52
2005-08-01,2527.575948579,213.064767988,4775.8500154,238286.592993346,14.687701623,74.532780966,135.641358691,4.81,4.77,99.3048090113153,109.060846637166,410272.146775585,102.6,94.3,63.98
2005-09-01,2536.96427055,210.861448683,4787.947162542,241321.875881889,14.638552434,75.010004971,135.923850648,4.7,4.57,101.31876392183,109.310801180277,415378.185997307,103.9,96.6,62.91
2005-10-01,2586.323099489,215.835403095,4793.283917491,243867.145846253,14.577904072,76.820130711,136.15943852,4.6,4.61,102.620728222259,106.729073356361,422009.882528855,104.1,98.4,58.54
2005-11-01,2614.401818095,215.356012073,4805.469760501,246275.393477231,14.708499101,77.630563375,135.9062589,4.49,4.62,100.072365928906,102.852361115816,422429.264364117,105.6,97.4,55.24
2005-12-01,2504.935514631,220.018294044,4817.813082283,250396.46086515,14.795862313,80.303635185,135.802343802,4.27,4.6,103.755045881761,106.003067881397,422528.841844589,104.9,97.6,56.86
2006-01-01,2547.555368006,222.055036338,4860.228230215,254455.657093404,14.897171869,79.801830039,135.720589946,4.49,4.52,105.060345142311,113.094259751443,422896.881887608,105.4,98.5,62.99
2006-02-01,2576.141199718,222.266432499,4855.074066845,257873.114606754,14.544086738,79.780960142,135.729790711,4.27,4.29,103.939975644211,111.813662379913,431358.44029665,105.6,98.7,60.21
2006-03-01,2572.074189377,223.507918925,4867.739828638,260858.69195343,14.197449639,80.199289205,135.500664645,4.07,4.14,102.243159614924,113.311998827271,433517.529456446,106.2,97.8,62.06
2006-04-01,2593.554094116,232.260320203,4885.382424967,264801.710821039,13.876577836,81.045982207,136.008511421,4.08,4.13,101.94271608573,123.222965989434,439823.067752969,106.4,99.7,70.26
2006-05-01,2612.905245854,233.324681397,4901.071853223,270490.244741723,13.772710325,83.183685703,136.410861666,4.12,4.12,103.082379915263,127.618246893024,449137.439937253,108,100.7,69.78
2006-06-01,2624.957616094,235.05394986,4913.741983583,273627.088859134,13.665630277,83.363401433,136.257926734,3.96,4.12,98.4158393657018,125.900896549062,454655.22836745,108,100.5,68.56
2006-07-01,2651.156817645,237.701575757,4925.688041071,280892.149117902,13.540691475,84.671287601,136.796080077,4.05,4.12,99.3478787467974,131.061288656517,457803.66460764,107.9,102.1,73.67
2006-08-01,2662.856032921,238.242024042,4943.197115983,286427.198464393,13.423830861,84.419683457,137.829559653,4.03,4.12,102.044617914661,130.444976781125,463701.581439474,108.3,102.7,73.23
2006-09-01,2682.225208035,243.388401309,4958.839903167,291704.682343926,13.308070468,85.192385697,137.938606563,3.99,4.13,100.499353144321,119.237554552798,471008.773650587,108.4,102.3,61.96
2006-10-01,2698.925400175,245.019153555,4968.971701938,298142.032549817,13.178771516,85.905781583,137.796746805,4.1,4.14,102.167244187586,116.087860169819,476125.216012198,108.1,101.9,57.81
2006-11-01,2695.009051482,248.060984518,4989.572902746,305309.807883519,13.042211369,86.64061325,137.828790471,3.98,4.13,104.697263934748,117.311082130182,484148.787367085,109,103.7,58.76
2006-12-01,2739.748571883,254.727265534,5014.330030426,315151.527156923,12.858471659,87.729662445,137.736830506,4.03,4.12,103.639518462078,121.012936402253,489831.798441927,111.1,104.6,62.47
2007-01-01,2743.663418459,253.152000628,5043.059773693,320895.150380798,12.690788141,89.034058882,137.851417578,4.02,4.12,101.63475586365,113.037232976241,504354.220686503,110,104.4,53.68
2007-02-01,2755.684767848,257.389744656,5061.955026384,327891.923174374,12.503161003,88.937702696,138.224170321,4.06,4.12,101.887315479347,118.491112334637,509046.436815667,110.6,105.2,57.56
2007-03-01,2813.026132748,263.794593411,5084.986274078,338892.250990692,12.327358159,90.444638917,138.755083491,4.04,4.13,102.535319384244,122.327904437415,511606.509624581,111.2,105.8,62.05
2007-04-01,2808.036491311,262.468620896,5101.458259453,349393.599688671,12.177561962,89.479856273,139.068416564,3.93,4.24,104.835611871523,128.967876418431,518043.654354569,110,104.9,67.49
2007-05-01,2850.757632769,264.906083687,5116.571484912,357668.733451309,12.07632412,89.979856942,139.46936907,4.33,4.4,105.555257747364,129.901128388985,521023.255947832,112,106.9,67.21
2007-06-01,2870.20371442,268.804376881,5141.393839041,368905.987515235,11.970557556,89.720752568,139.72250299,4.36,4.44,104.975974268361,132.94865666208,521731.141962059,112,107.1,71.05
2007-07-01,2892.912471409,271.616859043,5159.13932318,378386.491586943,11.845837031,91.58398753,139.862983084,4.57,4.68,105.615002561964,138.342774370356,529264.911276717,112.1,107.7,76.93
2007-08-01,2926.255721383,275.455771375,5183.151104972,387333.196519844,11.926361376,91.69625244,139.952090779,4.53,4.77,103.628577359562,133.202028567827,538626.801940146,112.8,108,70.76
2007-09-01,2941.176700158,277.959255565,5194.615344877,397558.444641014,12.011108958,91.617531517,140.894586074,4.68,4.96,106.10672747317,140.763926274698,539175.585640128,112.4,109,77.17
2007-10-01,2978.671838106,280.927034787,5218.711362543,407107.341748881,12.080224972,93.439362996,141.463724298,5.02,4.97,108.129726555274,147.876401392535,541816.525251978,113.2,109.2,82.34
2007-11-01,3025.041250508,284.504217914,5237.177033076,416889.386419384,11.8433543,94.224535568,142.473381298,5.04,5.12,110.651550450699,157.937248792485,550017.956848147,112.5,108.9,92.41
2007-12-01,2950.279778584,280.154288104,5260.690514851,425702.140707849,11.554828655,94.29766793,143.072492459,4.46,5.62,111.221838316579,156.827935784777,555232.94492226,112.9,109.8,90.93
2008-01-01,3057.837652089,292.794035539,5339.250879439,437593.567062135,11.284722534,98.432093083,143.673067528,5.2,5.43,111.829161298626,162.476185384186,569421.413693285,114.1,110.7,92.18
2008-02-01,3104.063452746,295.931299819,5361.823774028,447261.435510858,11.061670204,98.607204138,144.208981655,5.4,5.53,112.151608919357,171.411579217356,577574.602479131,114,110.4,94.99
2008-03-01,3108.754197884,293.411953884,5379.905734662,459344.916930569,10.856146717,95.152093958,144.599882483,5.74,5.82,114.696644621088,182.319307864343,581262.923751367,113.4,110.1,103.64
2008-04-01,3148.597175742,300.878429837,5386.266581117,471770.168234865,10.676778044,97.379481016,144.817220851,6.09,6.11,117.861978447094,189.763529512205,595550.987856829,114.9,110.8,109.07
2008-05-01,3159.584446564,295.545922448,5391.548961218,483671.455770968,11.01226764,92.788303339,145.729008416,5.87,6.18,118.955037001866,204.084168601596,599900.617494575,111.5,108.3,122.8
2008-06-01,3210.926414898,300.216222871,5389.917741295,495817.977700117,11.341419122,95.25493971,146.274938325,5.97,6.25,119.274474568977,215.731709983733,606995.670103588,111.7,109.4,132.32
2008-07-01,3211.846772686,295.135574946,5399.54617393,506547.121020583,11.650716835,93.906990319,146.812183766,5.95,6.27,122.837069196213,220.030250746036,618023.996611688,110.7,107.7,132.72
2008-08-01,3220.655248182,292.15433664,5399.975703381,519108.303447051,11.496440751,91.052772828,146.948147612,6.21,6.25,119.157460455906,196.146452407417,629420.845109217,109.9,109.5,113.24
2008-09-01,3240.735032945,297.666603362,5405.58323832,528276.559612068,11.34995655,92.799741622,147.245262445,5.88,6.31,117.615319220528,176.610111149824,632729.846769437,109.1,107.4,97.23
2008-10-01,3257.508086322,295.839215371,5404.565108026,540295.498297016,11.185094513,91.297461067,147.618952721,5.84,6.54,109.333871344151,139.423011860422,635691.797411116,106.5,105.1,71.58
2008-11-01,3267.410121617,293.988472565,5396.839959852,543195.803357576,11.248562373,87.706539615,147.927283793,5.64,6.47,108.316374465664,115.020097370491,649563.5135988,102.3,100.5,52.45
2008-12-01,3109.852861955,291.003214573,5379.001685669,552042.847567428,11.255047171,86.261102836,148.007567063,5.25,6.06,105.377456066881,98.1751971066422,658371.410949299,98.6,96.8,39.95
2009-01-01,3309.931729662,302.017296595,5362.779439588,554527.274876964,11.282491541,85.619627933,148.293477367,4.91,5.26,96.4012535358434,102.525894610487,669684.057826917,94.6,90.1,43.44
2009-02-01,3283.029555772,303.973157561,5342.214535035,560647.707842908,11.54459291,87.273001413,149.509361727,3.92,4.41,89.4628664892608,98.2119752226348,680482.428124846,92.5,87.2,43.32
2009-03-01,3283.789344608,295.446065255,5322.139929466,565550.981322514,11.829722788,88.865410421,150.265961897,2.93,3.97,92.2694671995935,100.153654663734,682863.325808362,91.4,87.2,46.54
2009-04-01,3297.892098784,300.321291529,5307.475541273,565587.71935889,12.141762026,88.316283292,150.974287617,3.01,3.64,95.5310807840374,104.094234678276,681514.936285844,90.2,84.6,50.18
2009-05-01,3291.27112794,297.014134141,5294.80729226,568114.582628578,12.194354772,89.051656644,151.518031281,3.52,3.94,96.69276078822,114.859497239805,685135.170764456,92.2,88.3,57.3
2009-06-01,3300.257783889,295.764530684,5279.843063405,571985.798735934,12.239297457,89.177166327,152.054501162,3.12,3.95,93.5233083739875,128.295683464219,694158.903758347,92.8,89.7,68.61
2009-07-01,3334.591797596,301.079058887,5272.811144445,574184.606460497,12.262406799,89.558059268,152.790257523,2.81,3.62,98.5047309454987,123.474614660147,691696.833906,93.1,88.8,64.44
2009-08-01,3324.914663296,301.855624914,5272.392932151,576904.34345657,12.600937648,91.401934612,152.943055256,2.85,3.53,101.779520206399,132.936105625567,686345.596864703,93,90,72.51
2009-09-01,3342.75592478,295.853232349,5269.360997721,580946.441058262,12.950060791,91.068654833,152.882504313,2.84,3.52,102.723441860451,127.599294535744,693823.222917022,95.3,93.6,67.65
2009-10-01,3343.212557726,298.081085732,5267.374575116,584857.379724521,13.27834214,92.182145276,152.847756524,2.82,3.52,101.507729769286,134.800513890604,711194.355429804,94.8,91.7,72.77
2009-11-01,3354.003513828,302.794114024,5268.843053705,584722.94674124,13.658649842,94.336528514,153.356508718,3.04,3.54,102.587902717378,140.776262796198,701208.444387843,95.1,92.3,76.66
2009-12-01,3341.860753999,301.755912774,5273.141539929,588416.748703223,13.403792669,92.856312351,153.499432413,2.46,3.68,100.954051346399,140.68982818976,711436.328996183,95.2,92.7,74.46
2010-01-01,3347.123253899,301.900971364,5288.358134842,592738.67625822,13.368016946,94.46501721,153.964563457,2.86,3.65,103.240810525886,145.909126412955,711882.677833832,96.7,94,76.17
2010-02-01,3385.945472765,296.414877431,5283.582624189,596664.965014175,13.486181642,95.38134036,154.198281988,2.93,3.62,103.148400715275,142.27721828824,715231.160564173,96.2,93,73.75
2010-03-01,3412.521292025,305.968510498,5290.514072357,596679.191228086,14.003289134,98.889041633,154.429565978,2.94,3.62,106.600845533719,148.801379311756,720533.425543388,98,95.2,78.83
2010-04-01,3392.776671029,291.623053258,5306.999385365,597208.725450858,13.887671377,96.37922516,154.638002702,3.07,3.61,106.343058100572,157.866794086464,722900.34789301,98.4,97.2,84.82
2010-05-01,3434.747503883,306.247773339,5321.503556759,602132.17978468,13.59118636,100.918338849,154.929662365,3.22,3.62,99.5594393521448,146.696841373649,737599.455365604,100.4,100.2,75.95
2010-06-01,3413.98344603,307.458857145,5334.33097044,603843.43395872,13.315085306,101.592414569,155.672579659,3.23,3.63,99.8769579532632,143.668649341921,743297.562678746,100.3,99.2,74.76
2010-07-01,3428.133478687,311.666651542,5347.5432802,607979.089654478,13.89572595,101.298710649,155.921124209,3.08,3.62,101.676896777076,144.292507682897,745820.942662785,100,99.2,75.58
2010-08-01,3458.621274588,314.185259851,5353.887496098,610503.327840223,13.881564544,101.68074026,156.066858206,3.18,3.6,101.71893496636,148.619436297858,750649.823027108,100.2,100.5,77.04
2010-09-01,3461.188015009,314.544548511,5367.258369207,614718.521694495,13.951581419,101.800521488,156.933704502,3.02,3.61,104.894101283651,150.367377158593,755668.086489489,101.1,101.8,77.84
2010-10-01,3475.071496074,317.228912373,5377.105941167,618185.851483128,13.887613027,101.405167687,157.469818067,3.22,3.61,105.885803251941,159.614174698539,756634.205070156,102.2,103.9,82.67
2010-11-01,3491.403545289,315.975660524,5386.272201361,622025.707898758,13.808188638,101.615777962,157.676869093,3.05,3.61,104.473726122177,164.920683762208,764750.721165362,102.8,103.4,85.28
2010-12-01,3511.972512602,324.770849027,5398.220686553,623429.74117328,13.949223007,103.049620588,158.364324053,3.1,3.64,103.63829795493,174.793165396389,773758.127286339,103.6,105.3,91.45
2011-01-01,3516.986864105,312.742723791,5487.510426713,628426.618651693,13.907979853,103.820870104,159.827844278,3.26,3.74,106.239072148668,182.396264573945,770014.037999483,103.3,104.6,96.52
2011-02-01,3527.957867065,321.481639308,5502.419379182,632162.224485639,13.705131989,105.462540982,160.082070687,3.44,3.87,104.527331736153,190.066064466061,775692.027707582,104.2,105.7,103.72
2011-03-01,3553.581411797,322.479713252,5504.567206355,635415.417277609,13.746760184,104.224713705,161.196846184,3.71,3.9,104.098464534691,199.914912305142,800017.129147006,104.2,106.1,114.64
2011-04-01,3583.15248506,330.237169269,5512.579811896,642513.729379982,13.635371481,105.735259301,161.601552678,3.83,4.07,106.34827179682,210.366971349182,792141.936549279,103.8,106.3,123.26
2011-05-01,3578.175084316,330.518778801,5515.140989089,648673.586622635,13.592458697,106.774215834,162.440024803,3.76,4.26,105.459285854528,199.713737145541,795288.671781711,104.4,107.3,114.99
2011-06-01,3591.251741026,329.98626578,5523.478562555,653846.443530803,13.698468468,104.543407322,161.990312953,4.34,4.54,105.702615963995,196.294857294025,798010.568355988,102.9,105.7,113.83
2011-07-01,3619.957489492,328.501193084,5525.200016794,656935.997183567,13.580305495,104.824636273,162.040394312,4.51,4.62,103.713776746888,199.082072217641,801983.903316571,104.3,109,116.97
2011-08-01,3632.488427935,331.829534223,5521.676131313,658989.328320438,13.525879643,107.552000551,162.763689221,4.51,4.61,100.994752646463,190.723176097655,817015.602869775,104.6,108.2,110.22
2011-09-01,3645.75314363,337.145717373,5518.60157935,661978.883390178,13.229073844,108.743135568,162.963124966,4.48,4.63,94.5525325973084,188.805156788179,832602.056515864,103.1,106.4,112.83
2011-10-01,3651.735630178,343.044538359,5514.838471126,665054.212431282,13.254884988,108.038560083,163.770081546,4.48,4.66,97.1891301554643,183.033621210378,835850.678323604,102.9,107.7,109.55
2011-11-01,3652.797063706,337.782835194,5520.883671492,676011.843754309,13.062144088,109.005606143,164.876919179,4.6,4.73,94.328014355819,186.347550798771,854843.585384181,103,107,110.77
2011-12-01,3676.597875705,341.435857975,5522.605809189,678252.384098202,13.205168456,113.352581224,165.617377901,4.22,4.76,92.7925694728195,184.10388185102,870089.653980704,102.4,105.8,107.87
2012-01-01,3785.464007994,340.421703143,5537.347236917,683417.034572317,13.2687427,110.01089795,166.434290662,4.34,4.75,94.9509556429285,188.468176126874,875511.284988635,101.8,106.2,110.69
2012-02-01,3664.208983389,337.315969228,5533.268559506,686668.849094807,13.365591986,106.99267308,167.091096538,4.42,4.75,99.4517332613931,195.87711870804,871824.66101923,102.1,106.8,119.33
2012-03-01,3696.927952187,344.461877403,5534.057568426,690999.366016741,14.020962542,107.433942234,167.618979621,4.55,4.72,100.199787682741,201.875944621278,873185.491531929,102.3,107.5,125.45
2012-04-01,3696.123523204,340.590580643,5530.055469712,692730.369857944,14.073290573,108.811986259,168.202969971,4.52,4.71,99.5663301226686,197.472663468225,872804.766706292,101.3,105.9,119.75
2012-05-01,3712.304134991,341.001614443,5531.645135895,694875.392960068,13.913825888,109.271335735,168.398013933,4.69,4.85,95.9591046938267,185.28994861454,883936.372637471,102.1,107.7,110.34
2012-06-01,3744.665081056,338.024877661,5528.316931976,697738.528393301,13.612479312,107.394682869,168.908901533,4.88,4.91,97.5004357899982,170.061755108145,885462.613067897,101.2,106.6,95.16
2012-07-01,3706.920358729,341.650535992,5525.799571188,701048.542759733,13.895120025,108.226164065,168.617437629,4.84,4.91,97.6271390701351,177.979444408427,890049.638424865,101.7,107.4,102.62
2012-08-01,3731.714606121,338.48374688,5522.869811977,703790.459978775,13.990178691,107.723776297,168.814721718,4.9,4.91,100.205834474857,185.472000300961,896870.002713361,102.6,107.6,113.36
2012-09-01,3730.721239696,343.068790923,5517.341242454,704780.216394305,14.085149041,107.729953028,169.032295018,4.88,4.9,100.38917365563,187.160611912483,896093.258908458,100.7,106.3,112.86
2012-10-01,3744.342856997,338.743570529,5512.6749781,705607.624664173,14.060894531,108.47180003,169.42643652,4.79,4.83,100.77845413639,183.196358522209,902737.061718514,100,104.8,111.71
2012-11-01,3754.209704519,340.428393026,5502.467421773,707202.52024106,14.193916393,108.170639793,169.65456528,4.7,4.64,99.8368544074161,180.534939816473,903434.853129202,99.1,104.1,109.06
2012-12-01,3771.381472221,336.603854538,5491.899289279,709250.455723325,14.841076826,105.099174265,169.862157649,4.37,4.33,101.492261560635,182.27083032545,909359.888705621,99.6,104.6,109.49
2013-01-01,3782.923437971,343.140929059,5494.307395119,707469.548692235,15.280526009,108.285812762,169.761314972,4.12,4.12,100.61739694934,187.449239700663,914380.741314286,99.3,103.7,112.96
2013-02-01,3791.387086785,342.708868226,5488.914377343,709891.396414656,15.148475953,107.89299773,169.722653138,3.92,3.87,98.7330095201612,190.630757608992,920033.819966233,99.4,104.5,116.05
2013-03-01,3762.793744671,340.448611172,5483.961251305,710504.733356618,15.277718931,109.031257165,169.774957663,3.5,3.48,99.1690148634531,183.752631511473,930645.872091215,100.5,106.3,108.47
2013-04-01,3801.195611585,342.558735263,5477.696136184,711786.26822966,15.404207313,106.83783213,170.04922564,3.32,3.33,101.027711738576,178.905484475323,937471.519089538,100.6,106.3,102.25
2013-05-01,3786.951701574,342.858683593,5481.39281877,713437.956619516,15.226221768,107.293900369,169.784016487,3.14,3.09,98.7825001832304,179.490925331874,941584.190012255,100.5,105.3,102.56
2013-06-01,3818.729421248,352.878245007,5485.88174798,715383.438974277,15.215069258,112.542591779,169.946849539,2.82,2.86,97.3779942676252,179.158834906009,947352.205326626,100.8,107.2,102.92
2013-07-01,3838.056070661,351.092042948,5487.561161429,717848.308321942,15.766688195,112.576643061,170.886580612,2.47,2.65,97.6348163149936,183.591751202845,948409.855591836,100,105.6,107.93
2013-08-01,3835.488718924,353.057489735,5494.86414085,721140.930374834,15.841635642,112.818417518,171.060167638,2.59,2.62,98.6500224463595,185.833880730513,951376.696177716,100.7,107.7,111.28
2013-09-01,3855.013748364,356.238399049,5498.416114117,725575.412856894,15.687541801,112.44678466,171.286889013,2.55,2.61,98.83445103557,185.153465965144,950851.523473297,101,107.3,111.6
2013-10-01,3867.239713898,352.596951541,5501.990368721,727589.612570794,15.852548479,113.537443086,171.277143546,2.55,2.6,100.302812021846,182.183615693137,955780.724737415,100.4,106.5,109.08
2013-11-01,3884.976727456,354.937974182,5505.076519801,730468.440780205,15.87111892,113.302361452,171.030270332,2.59,2.6,99.9876092283027,179.604222781326,955073.382523716,101.7,108.4,107.79
2013-12-01,3885.577563011,354.559265332,5505.961572779,734589.49797735,15.756491006,109.930424203,171.211915039,2.48,2.6,101.25607645287,183.930302169608,965960.576168454,101.5,108.6,110.76
2014-01-01,3894.958045985,355.783155334,5494.520984552,737608.044653663,15.564228466,112.598856896,171.18398767,2.63,2.61,99.846667090486,180.058026700806,963412.559783821,101.2,107.9,108.12
2014-02-01,3926.680670143,364.565304141,5499.667749098,742836.57972172,15.575510618,113.243721614,171.346487398,2.53,2.61,100.758764269925,183.250643593148,968265.475689047,101.4,107.8,108.9
2014-03-01,3922.901852397,360.973941945,5509.322887498,746251.861787524,15.428726974,112.1222453,171.317551085,2.59,2.61,100.369605967081,183.138923440199,979018.969533399,100.9,108.2,107.48
2014-04-01,3936.12913581,363.226100831,5513.751254129,750536.97261064,14.959105802,115.295647734,170.884836212,2.57,2.62,100.882065500561,184.672272585315,988537.534437917,102,107.8,107.76
2014-05-01,3965.342963376,360.356706388,5517.506144385,756438.745482846,14.951421289,114.622706812,170.635388559,2.6,2.62,100.119789357106,184.272980961926,990989.86344623,101.3,107.2,109.54
2014-06-01,3963.045380978,358.033168458,5524.744132405,759691.636359892,14.877121603,112.449469757,170.759495875,2.65,2.61,100.991178026639,185.205461461016,997011.241993298,101,107.3,111.8
2014-07-01,3974.556473559,363.859666031,5530.340114982,760391.204882585,15.003992442,115.571557426,170.866558907,2.61,2.6,99.9646657650167,181.314305954765,1005656.95154364,101.7,109.1,106.77
2014-08-01,3982.608710536,366.290622292,5537.257565913,763464.5292497,14.901425532,113.084216202,170.817770531,2.63,2.6,98.5698307852961,175.304993436742,1022081.41163478,100.2,105.2,101.61
2014-09-01,3991.172447945,365.181560738,5542.098928407,765382.21983984,14.820019634,115.327952096,170.866674284,2.6,2.52,97.9730409437427,168.5837752079,1025726.29012404,101.4,107.8,97.09
2014-10-01,4007.435765808,364.245631672,5547.822821381,765494.172829539,14.707895606,115.578240396,170.551856709,2.2,2.14,98.2683486168547,157.629808274063,1029092.71735275,101.3,108.2,87.43
2014-11-01,4011.81480234,366.42217083,5555.263292652,771067.788301758,14.84745326,116.048438319,170.314465415,2.09,2.05,98.4110901126321,148.486074791547,1035059.80239603,101.2,108.1,79.44
2014-12-01,4038.429784439,362.905633751,5562.309499289,771892.308518371,14.915735207,116.02495122,169.771723145,2.06,2.08,98.0822955617509,130.873965585846,1044845.29380592,102.4,109.9,62.34
2015-01-01,4040.679745156,369.207585301,5560.39918729,776701.284600683,15.015911002,116.896276082,169.300828619,1.99,2.05,95.2064777211392,114.784608220408,1045753.31527224,102.1,108.1,47.76
2015-02-01,4053.371242122,371.21179511,5562.772311495,779922.946549102,15.001392797,118.454794423,169.066235618,2.05,1.96,97.8500356670422,121.119071760706,1052536.42661059,103.4,108.5,58.1
2015-03-01,4091.943658823,379.086028307,5567.468472256,786102.250829662,15.028061043,119.772222292,169.159734286,1.68,1.67,96.2200532279755,117.271971076001,1064638.04704606,103.7,108.7,55.89
2015-04-01,4068.701835209,368.878751094,5572.495539027,786266.407184525,15.081130689,117.547263713,169.410683315,1.6,1.64,99.3008133311449,119.565896787802,1058445.73888148,103.1,109,59.52
2015-05-01,4087.610337409,376.935829832,5579.313338816,791277.316884017,15.280620058,119.781623419,169.361415468,1.55,1.64,97.7441145774567,124.88995529481,1065733.24666795,103.2,109.2,64.08
2015-06-01,4074.321683748,374.811692164,5576.694301303,796726.194911516,15.467891031,118.395180453,169.460840005,1.59,1.65,97.4297996396361,122.842306536906,1078661.12941669,103.7,109.3,61.48
2015-07-01,4093.119417981,373.431129495,5583.427096303,801235.907758705,15.627841669,120.198568556,169.66669559,1.58,1.66,96.1980902721798,114.841136507666,1091140.71398285,104.3,110.4,56.56
2015-08-01,4120.67414908,376.78056572,5593.007079903,806417.867011972,15.854853377,119.838574513,169.601108912,1.65,1.66,96.6744599470815,104.311243235974,1096242.38224092,103.1,108.3,46.52
2015-09-01,4146.419565708,374.461565602,5600.258618785,808951.334125635,16.102427082,119.856737922,169.177327493,1.61,1.66,95.9451221298457,103.605364651123,1110825.96261813,103.6,108.5,47.62
2015-10-01,4156.546088212,379.840020872,5612.993834616,814135.815087797,16.319919819,121.470227687,169.044557305,1.59,1.67,95.1659942219888,103.539647093478,1121237.62713375,104.3,108.7,48.43
2015-11-01,4168.55940851,384.31951279,5622.835833625,816785.505126012,16.640699524,122.7474818,168.907643395,1.6,1.67,93.5792698518329,97.4769409030043,1131708.37271575,103.6,108.2,44.27
2015-12-01,4192.542040361,387.328683858,5638.993928944,820339.61139868,16.891521179,123.067523384,168.517382806,1.52,1.66,94.8960082001065,90.8448337241792,1139420.1785995,103.4,108.9,38.01
2016-01-01,4201.368217775,381.610214063,5690.018068097,826996.109362407,17.173554482,120.331317256,167.674877681,1.53,1.63,91.6397418118879,83.217741653778,1152191.27406206,105.7,110.8,30.7
2016-02-01,4211.677671774,383.55145576,5699.768950059,828707.932870963,17.125068444,122.800658687,167.338311077,1.39,1.58,92.5321479132143,83.9825444409422,1158641.30849341,104.3,109.9,32.18
2016-03-01,4214.435785105,380.825210138,5716.656417333,830930.055095633,17.116923642,120.795984574,167.368892035,1.43,1.56,94.3182849581826,92.3846507131672,1161156.80233985,103.8,109.4,38.21
2016-04-01,4254.664675439,393.021407531,5725.072928333,836495.897033963,17.134499798,123.732625578,167.419568654,1.63,1.56,93.3424260555101,96.4435493885686,1181208.37836283,105.2,109.9,41.58
2016-05-01,4251.562827259,393.588505513,5734.96294124,836759.617211224,17.31434654,121.632966501,167.577457063,1.6,1.58,90.8137988782584,102.225725286612,1189261.99556874,103.8,108.8,46.74
2016-06-01,4260.941530992,397.554477726,5750.814916468,839194.04622023,17.483181392,124.968851162,167.977615267,1.56,1.63,91.7673945658573,105.520005768946,1201907.92420795,104.5,110.3,48.25
2016-07-01,4292.217184647,396.573810732,5761.49228865,843292.732391565,17.625136532,121.165678154,167.902635808,1.61,1.65,90.9898612351209,102.816129400063,1208222.23604554,103.9,108.4,44.95
2016-08-01,4292.132283095,397.68151636,5766.372968624,845996.749842862,17.659170444,123.80043191,168.230170763,1.58,1.65,93.3449788262965,102.759097413772,1206649.9529715,105.6,111,45.84
2016-09-01,4303.536021445,399.430085324,5779.250925797,852922.831536581,17.713528363,124.056871208,168.322262003,1.66,1.65,93.0898228925849,102.485169621655,1214866.53724344,105.1,110.3,46.57
2016-10-01,4319.78171137,404.145975145,5786.190476688,856398.08302209,17.737981779,122.876581228,168.771207667,1.62,1.65,92.9882769008494,108.178111897622,1218973.32217815,105.1,110.4,49.52
2016-11-01,4339.303226135,405.236412054,5799.023177827,856949.555994849,17.880146878,124.215610066,169.029414633,1.49,1.66,90.8145178219663,106.578038432212,1241458.98377927,106.9,111.1,44.73
2016-12-01,4341.69214328,410.84590177,5812.901319995,860342.602499763,17.952982404,127.940697892,170.083570285,1.47,1.66,90.1828689213414,114.365664132072,1248527.2981549,105.8,108.9,53.31
2017-01-01,4380.676728415,417.884138914,5946.400684534,864367.056208964,18.056652662,128.82874576,170.630995053,1.56,1.66,92.086236344208,118.172576699369,1250242.02096901,106,110.7,54.58
2017-02-01,4395.521603172,414.74682036,5963.349666323,869039.713935247,17.907445167,127.613866265,171.078511603,1.6,1.66,92.1369626585513,118.615999458254,1253513.30743535,105.8,111.3,54.87
2017-03-01,4428.506848219,416.207925283,5970.951498774,874599.933037255,17.798139014,129.912134235,170.741033477,1.57,1.66,93.4518064453315,113.314944843514,1251860.36202514,106.2,111.4,51.59
2017-04-01,4439.374316771,418.886902406,5984.984833146,882259.193521384,17.714253295,129.025000945,170.795896265,1.61,1.66,94.3175093600392,113.226876101898,1260210.09232413,106.5,112.3,52.31
